filename,notes,authors,licenses,urls
shadow/adult/shadow.png,"","drjamgo@hotmail.com","CC0","https://opengameart.org/content/shadow-for-lpc-sprite"
body/bodies/female/light.png,"see details at https://opengameart.org/content/lpc-character-bases","Benjamin K. Smith (BenCreating),bluecarrot16,TheraHedwig,Evert,MuffinElZangano,Durrani,Pierre Vigier (pvigier),ElizaWy,Matthew Krohn (makrohn),Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-ladies,https://opengameart.org/content/lpc-7-womens-shirts,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-revised-character-basics,https://gitlab.com/vagabondgame/lpc-characters,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle"
head/heads/human/male/light.png,"original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16","bluecarrot16,Benjamin K. Smith (BenCreating),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-character-bases"
eyes/human/adult/default/blue.png,"original by Redshrike, mapped to all frames by Matthew Krohn & JaidynReiman","JaidynReiman,Matthew Krohn (makrohn),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles"
hair/sara/adult/fg/dark_brown.png,"","Stephen Challener (Redshrike),William.Thompsonj,Mandi Paugh,bluecarrot16","OGA-BY 3.0,CC-BY 3.0","https://opengameart.org/content/lpc-sara,https://opengameart.org/content/lpc-hair,https://opengameart.org/content/lpc-expanded-xlong-hair"
hair/sara/adult/bg/dark_brown.png,"","Stephen Challener (Redshrike),William.Thompsonj,Mandi Paugh,bluecarrot16","OGA-BY 3.0,CC-BY 3.0","https://opengameart.org/content/lpc-sara,https://opengameart.org/content/lpc-hair,https://opengameart.org/content/lpc-expanded-xlong-hair"
neck/scarf/gray.png,"","Nila122,Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-SA 3.0,CC-BY-SA 3.0,GPL 2.0,GPL 3.0","https://opengameart.org/content/more-lpc-clothes-and-hair"
torso/clothes/longsleeve/longsleeve2/female/black.png,"original by ElizaWy; spellcast/thrust/shoot/hurt/male adapted from original by JaidynReiman","ElizaWy,JaidynReiman,Stephen Challener (Redshrike),Johannes Sjölund (wulax)","OGA-BY 3.0","https://opengameart.org/content/lpc-revised-character-basics,https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing,https://opengameart.org/content/lpc-expanded-sit-run-jump-more,https://opengameart.org/content/lpc-expanded-simple-shirts"
legs/pants/thin/blue.png,"original male pants by wulax, edited for female by Joe White, recolors and edits to v3 base by bluecarrot16, teen legs by ElizaWy derived from base, climb/jump/run/sit/emotes/revised combat by JaidynReiman based on ElizaWy's LPC Revised","bluecarrot16,JaidynReiman,ElizaWy,Joe White,Matthew Krohn (makrohn),Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,GPL 3.0,CC-BY-SA 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates,https://opengameart.org/content/lpc-expanded-pants"
feet/shoes/basic/thin/black.png,"original by wulax, edited for female base by Joe White, edited for v3 base by bluecarrot16, Jump/Sit/Emote/Run/Revised Combat by JaidynReiman","JaidynReiman,Joe White,Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates,https://opengameart.org/content/lpc-expanded-socks-shoes"
